reading_id,sensor_id,value,timestamp
1,1,70.0,2026-08-13T14:49:28.377854
2,2,2.0,2026-08-13T14:49:28.379857
3,3,1500.0,2026-08-13T14:49:28.379857
4,4,70.0,2026-08-13T14:49:28.379857
5,5,2.0,2026-08-13T14:49:28.379857
6,6,1500.0,2026-08-13T14:49:28.379857
7,7,70.0,2026-08-13T14:49:28.379857
8,8,100.0,2026-08-13T14:49:28.379857
9,9,70.0,2026-08-13T14:49:28.379857
10,10,2.0,2026-08-13T14:49:28.379857
11,11,1500.0,2026-08-13T14:49:28.379857
12,12,70.0,2026-08-13T14:49:28.379857
13,13,2.0,2026-08-13T14:49:28.379857
14,14,1500.0,2026-08-13T14:49:28.379857
15,15,70.0,2026-08-13T14:49:28.379857
16,7,68.72351090096696,2026-08-13T14:49:38.402391
17,8,106.45339830684196,2026-08-13T14:49:38.402391
18,12,69.68270684931588,2026-08-13T14:49:38.402391
19,13,2.0185843069998453,2026-08-13T14:49:38.402391
20,14,1513.5526446259255,2026-08-13T14:49:38.402391
21,7,73.28396316684893,2026-08-13T14:49:40.429152
22,8,104.33286150421623,2026-08-13T14:49:40.429152
23,12,71.10430812611216,2026-08-13T14:49:40.429152
24,13,2.0194164783962214,2026-08-13T14:49:40.429152
25,14,1452.4908900927255,2026-08-13T14:49:40.429152
26,7,66.76142252046162,2026-08-13T14:49:42.449619
27,8,106.0805245700685,2026-08-13T14:49:42.449619
28,12,75.45042115094621,2026-08-13T14:49:42.449619
29,13,2.0648358345723596,2026-08-13T14:49:42.449619
30,14,1480.3750048889397,2026-08-13T14:49:42.449619
31,7,72.8182392790468,2026-08-13T14:49:44.469251
32,8,98.7283872736684,2026-08-13T14:49:44.469251
33,12,71.63212543406134,2026-08-13T14:49:44.469251
34,13,2.1734524221273803,2026-08-13T14:49:44.469251
35,14,1460.106645197338,2026-08-13T14:49:44.469251
36,7,64.3030489110451,2026-08-13T14:49:46.491733
37,8,97.94275925549232,2026-08-13T14:49:46.491733
38,9,70.37174597685936,2026-08-13T14:49:46.491733
39,10,2.031360048709451,2026-08-13T14:49:46.491733
40,11,1547.9821848810807,2026-08-13T14:49:46.491733
41,12,73.91909752727786,2026-08-13T14:49:46.491733
42,13,2.0014249533184043,2026-08-13T14:49:46.491733
43,14,1463.134849202851,2026-08-13T14:49:46.491733
44,15,70.53678716883097,2026-08-13T14:49:46.491733
45,7,68.31720529928938,2026-08-13T14:49:48.513394
46,8,96.09458268170626,2026-08-13T14:49:48.513394
47,9,68.31134128195792,2026-08-13T14:49:48.513394
48,10,1.8491477300078363,2026-08-13T14:49:48.513394
49,11,1493.2499273532887,2026-08-13T14:49:48.513394
50,12,69.24145383810554,2026-08-13T14:49:48.513394
51,13,2.019689152284052,2026-08-13T14:49:48.513394
52,14,1464.0135381635314,2026-08-13T14:49:48.513394
53,15,67.92129275955446,2026-08-13T14:49:48.513394
54,7,74.3512934962288,2026-08-13T14:49:50.543190
55,8,90.19112372492536,2026-08-13T14:49:50.543190
56,9,71.36684111200488,2026-08-13T14:49:50.543190
57,10,2.015468193993776,2026-08-13T14:49:50.543190
58,11,1443.75683413343,2026-08-13T14:49:50.543190
59,12,70.29878529576597,2026-08-13T14:49:50.543190
60,13,1.9565983422636466,2026-08-13T14:49:50.543190
61,14,1415.4973864629058,2026-08-13T14:49:50.543190
62,15,69.59081116524177,2026-08-13T14:49:50.543190
63,4,72.32963229147556,2026-08-13T14:49:52.563023
64,5,1.8977358881875883,2026-08-13T14:49:52.563023
65,6,1533.5946916209364,2026-08-13T14:49:52.563023
66,7,73.85698786995084,2026-08-13T14:49:52.563023
67,8,97.41321366437856,2026-08-13T14:49:52.563023
68,9,72.33154974185291,2026-08-13T14:49:52.563023
69,10,2.108785411367955,2026-08-13T14:49:52.563023
70,11,1427.7217322052302,2026-08-13T14:49:52.563023
71,12,68.10517885833707,2026-08-13T14:49:52.563023
72,13,2.0690456962250185,2026-08-13T14:49:52.563023
73,14,1498.0326205619122,2026-08-13T14:49:52.563023
74,15,76.60490209774576,2026-08-13T14:49:52.563023
75,4,74.66253389612329,2026-08-13T14:49:54.588386
76,5,1.950980396893593,2026-08-13T14:49:54.588386
77,6,1487.769529391341,2026-08-13T14:49:54.588386
78,7,77.45614143355246,2026-08-13T14:49:54.588386
79,8,97.94327469473987,2026-08-13T14:49:54.588386
80,9,72.02206128304856,2026-08-13T14:49:54.588386
81,10,2.012859423445495,2026-08-13T14:49:54.588386
82,11,1598.428318157936,2026-08-13T14:49:54.588386
83,12,74.28428208998452,2026-08-13T14:49:54.588386
84,13,2.070743088675486,2026-08-13T14:49:54.588386
85,14,1501.64099005832,2026-08-13T14:49:54.588386
86,15,73.14809848046829,2026-08-13T14:49:54.588386
87,4,68.73593212723978,2026-08-13T14:49:56.597083
88,5,1.8905580753376519,2026-08-13T14:49:56.597083
89,6,1509.4077531653425,2026-08-13T14:49:56.597083
90,7,73.02941143484702,2026-08-13T14:49:56.597083
91,8,100.90014680311374,2026-08-13T14:49:56.597083
92,9,68.5743639376391,2026-08-13T14:49:56.597083
93,10,2.0535970867346363,2026-08-13T14:49:56.597083
94,11,1360.7176416827892,2026-08-13T14:49:56.597083
95,12,71.00851733550647,2026-08-13T14:49:56.597083
96,13,2.0110657534916987,2026-08-13T14:49:56.597083
97,14,1608.6360776020276,2026-08-13T14:49:56.597083
98,15,73.09637744671561,2026-08-13T14:49:56.597083
99,4,68.81180632589796,2026-08-13T14:49:58.615830
100,5,1.9918461330006656,2026-08-13T14:49:58.615830
101,6,1418.1696454845517,2026-08-13T14:49:58.615830
102,7,67.99184592276895,2026-08-13T14:49:58.615830
103,8,108.11432583070356,2026-08-13T14:49:58.615830
104,9,71.86750225169558,2026-08-13T14:49:58.615830
105,10,2.071731828519639,2026-08-13T14:49:58.615830
106,11,1511.5055191401555,2026-08-13T14:49:58.615830
107,12,67.36922636670474,2026-08-13T14:49:58.615830
108,13,1.7886985443612244,2026-08-13T14:49:58.615830
109,14,1502.5910966179724,2026-08-13T14:49:58.615830
110,15,72.07852625149717,2026-08-13T14:49:58.615830
111,4,71.94639625728792,2026-08-13T14:50:00.622490
112,5,1.8501979445754326,2026-08-13T14:50:00.622490
113,6,1536.5436350398727,2026-08-13T14:50:00.622490
114,7,61.74182361092915,2026-08-13T14:50:00.622490
115,8,103.61156456628032,2026-08-13T14:50:00.622490
116,9,70.29699339559221,2026-08-13T14:50:00.622490
117,10,2.0338769258293485,2026-08-13T14:50:00.622490
118,11,1454.0243277335599,2026-08-13T14:50:00.622490
119,12,64.59393581809718,2026-08-13T14:50:00.622490
120,13,2.002210018246612,2026-08-13T14:50:00.622490
121,14,1537.9656126198527,2026-08-13T14:50:00.622490
122,15,69.68720106174699,2026-08-13T14:50:00.622490
123,4,70.26357934558101,2026-08-13T14:50:02.631862
124,5,1.8632088034126721,2026-08-13T14:50:02.631862
125,6,1547.0255660482424,2026-08-13T14:50:02.631862
126,7,74.40252364292506,2026-08-13T14:50:02.631862
127,8,93.63494578486204,2026-08-13T14:50:02.631862
128,9,68.99026859094676,2026-08-13T14:50:02.631862
129,10,1.9155526601769337,2026-08-13T14:50:02.631862
130,11,1472.9850174724018,2026-08-13T14:50:02.631862
131,12,71.27125777180377,2026-08-13T14:50:02.631862
132,13,1.9290123786611626,2026-08-13T14:50:02.631862
133,14,1595.6869779972947,2026-08-13T14:50:02.631862
134,15,69.77426491879964,2026-08-13T14:50:02.631862
135,4,73.71481723049303,2026-08-13T14:50:04.639960
136,5,2.071821876744975,2026-08-13T14:50:04.639960
137,6,1536.9248883655423,2026-08-13T14:50:04.639960
138,7,69.69834851782826,2026-08-13T14:50:04.639960
139,8,100.75684578265356,2026-08-13T14:50:04.639960
140,9,75.54569890123791,2026-08-13T14:50:04.639960
141,10,1.907875946547379,2026-08-13T14:50:04.639960
142,11,1637.1666294977495,2026-08-13T14:50:04.639960
143,12,70.39821086052804,2026-08-13T14:50:04.639960
144,13,2.0941049847005844,2026-08-13T14:50:04.639960
145,14,1380.4590460711747,2026-08-13T14:50:04.639960
146,15,70.67567944871551,2026-08-13T14:50:04.639960
147,4,66.01345791586547,2026-08-13T14:50:06.670610
148,5,1.9300423668855369,2026-08-13T14:50:06.670610
149,6,1435.6444970293014,2026-08-13T14:50:06.670610
150,7,67.0323965626781,2026-08-13T14:50:06.670610
151,8,103.51745611523496,2026-08-13T14:50:06.670610
152,9,70.44668620876692,2026-08-13T14:50:06.670610
153,10,1.9643417675096917,2026-08-13T14:50:06.670610
154,11,1423.4342420408823,2026-08-13T14:50:06.670610
155,12,71.77326998931838,2026-08-13T14:50:06.670610
156,13,1.9294937658993043,2026-08-13T14:50:06.670610
157,14,1556.586654904578,2026-08-13T14:50:06.670610
158,15,75.6360534503864,2026-08-13T14:50:06.670610
159,4,69.37751742515084,2026-08-13T14:50:08.678713
